"date","open","high","low","close","adjClose","volume","unadjustedVolume","change","changePercent","vwap","label","changeOverTime"
"2015-06-10","127.92","129.34","127.85","128.88","119.74","39087300","39087300","-0.96","-0.75","128.69","June 10, 15","-0.0075"
"2015-06-11","129.18","130.18","128.48","128.59","119.47","35390900","35390900","0.59","0.457","129.08333","June 11, 15","0.00457"
"2015-06-12","128.19","128.33","127.11","127.17","118.15","36886200","36886200","1.02","0.796","127.53667","June 12, 15","0.00796"
"2015-06-15","126.1","127.24","125.71","126.92","117.92","43988900","43988900","-0.82","-0.65","126.62333","June 15, 15","-0.0065"
"2015-06-16","127.03","127.85","126.37","127.6","118.55","31494100","31494100","-0.57","-0.449","127.27333","June 16, 15","-0.00449"
"2015-06-17","127.72","127.88","126.74","127.3","118.27","32918100","32918100","0.42","0.329","127.30667","June 17, 15","0.00329"
"2015-06-18","127.23","128.31","127.22","127.88","118.81","35407200","35407200","-0.65","-0.511","127.80333","June 18, 15","-0.00511"
"2015-06-19","127.71","127.82","126.4","126.6","117.62","54716900","54716900","1.11","0.869","126.94","June 19, 15","0.00869"
"2015-06-22","127.49","128.06","127.08","127.61","118.56","34039300","34039300","-0.12","-0.094","127.58333","June 22, 15","-0.00094"
"2015-06-23","127.48","127.61","126.88","127.03","118.02","30268900","30268900","0.45","0.353","127.17333","June 23, 15","0.00353"
"2015-06-24","127.21","129.8","127.12","128.11","119.02","55280900","55280900","-0.9","-0.707","128.34333","June 24, 15","-0.00707"
"2015-06-25","128.86","129.2","127.5","127.5","118.46","31938100","31938100","1.36","1.055","128.06667","June 25, 15","0.01055"
"2015-06-26","127.67","127.99","126.51","126.75","117.76","44066800","44066800","0.92","0.721","127.08333","June 26, 15","0.00721"
"2015-06-29","125.46","126.47","124.48","124.53","115.7","49161400","49161400","0.93","0.741","125.16","June 29, 15","0.00741"
"2015-06-30","125.57","126.12","124.86","125.43","116.53","44370700","44370700","0.14","0.111","125.47","June 30, 15","0.00111"
"2015-07-01","126.9","126.94","125.99","126.6","117.62","30238800","30238800","0.3","0.236","126.51","July 01, 15","0.00236"
"2015-07-02","126.43","126.69","125.77","126.44","117.47","27211000","27211000","-0.01","-0.008","126.3","July 02, 15","-8E-05"
"2015-07-06","124.94","126.23","124.85","126.0","117.06","28060400","28060400","-1.06","-0.848","125.69333","July 06, 15","-0.00848"
"2015-07-07","125.89","126.15","123.77","125.69","116.78","46946800","46946800","0.2","0.159","125.20333","July 07, 15","0.00159"
"2015-07-08","124.48","124.64","122.54","122.57","113.88","60761600","60761600","1.91","1.534","123.25","July 08, 15","0.01534"
"2015-07-09","123.85","124.06","119.22","120.07","111.55","78595000","78595000","3.78","3.052","121.11667","July 09, 15","0.03052"
"2015-07-10","121.94","123.85","121.21","123.28","114.54","61354500","61354500","-1.34","-1.099","122.78","July 10, 15","-0.01099"
"2015-07-13","125.03","125.76","124.32","125.66","116.75","41440500","41440500","-0.63","-0.504","125.24667","July 13, 15","-0.00504"
"2015-07-14","126.04","126.37","125.04","125.61","116.7","31768100","31768100","0.43","0.341","125.67333","July 14, 15","0.00341"
"2015-07-15","125.72","127.15","125.58","126.82","117.83","33649200","33649200","-1.1","-0.875","126.51667","July 15, 15","-0.00875"
"2015-07-16","127.74","128.57","127.35","128.51","119.4","36222400","36222400","-0.77","-0.603","128.14333","July 16, 15","-0.00603"
"2015-07-17","129.08","129.62","128.31","129.62","120.43","46164700","46164700","-0.54","-0.418","129.18333","July 17, 15","-0.00418"
"2015-07-20","130.97","132.97","130.7","132.07","122.7","58900200","58900200","-1.1","-0.84","131.91333","July 20, 15","-0.0084"
"2015-07-21","132.85","132.92","130.32","130.75","121.48","76756400","76756400","2.1","1.581","131.33","July 21, 15","0.01581"
"2015-07-22","121.99","125.5","121.99","125.22","116.34","115450600","115450600","-3.23","-2.648","124.23667","July 22, 15","-0.02648"
"2015-07-23","126.2","127.09","125.06","125.16","116.28","50999500","50999500","1.04","0.824","125.77","July 23, 15","0.00824"
"2015-07-24","125.32","125.74","123.9","124.5","115.67","42162300","42162300","0.82","0.654","124.71333","July 24, 15","0.00654"
"2015-07-27","123.09","123.61","122.12","122.77","114.06","44455500","44455500","0.32","0.26","122.83333","July 27, 15","0.0026"
"2015-07-28","123.38","123.91","122.55","123.38","114.63","33618100","33618100","0.0","0.0","123.28","July 28, 15","0.0"
"2015-07-29","123.15","123.5","122.27","122.99","114.27","37011700","37011700","0.16","0.13","122.92","July 29, 15","0.0013"
"2015-07-30","122.32","122.57","121.71","122.37","113.69","33628300","33628300","-0.05","-0.041","122.21667","July 30, 15","-0.00041"
"2015-07-31","122.6","122.64","120.91","121.3","112.7","42885000","42885000","1.3","1.06","121.61667","July 31, 15","0.0106"
"2015-08-03","121.5","122.57","117.52","118.44","110.04","69976000","69976000","3.06","2.519","119.51","August 03, 15","0.02519"
"2015-08-04","117.42","117.7","113.25","114.64","106.51","124138600","124138600","2.78","2.368","115.19667","August 04, 15","0.02368"
"2015-08-05","112.95","117.44","112.1","115.4","107.22","99312600","99312600","-2.45","-2.169","114.98","August 05, 15","-0.02169"
"2015-08-06","115.97","116.5","114.12","115.13","107.45","52903000","52903000","0.84","0.724","115.25","August 06, 15","0.00724"
"2015-08-07","114.58","116.25","114.5","115.52","107.81","38670400","38670400","-0.94","-0.82","115.42333","August 07, 15","-0.0082"
"2015-08-10","116.53","119.99","116.53","119.72","111.73","54951600","54951600","-3.19","-2.737","118.74667","August 10, 15","-0.02737"
"2015-08-11","117.81","118.18","113.33","113.49","105.92","97082800","97082800","4.32","3.667","115.0","August 11, 15","0.03667"
"2015-08-12","112.53","115.42","109.63","115.24","107.55","101217500","101217500","-2.71","-2.408","113.43","August 12, 15","-0.02408"
"2015-08-13","116.04","116.4","114.54","115.15","107.47","48535800","48535800","0.89","0.767","115.36333","August 13, 15","0.00767"
"2015-08-14","114.32","116.31","114.01","115.96","108.22","42929500","42929500","-1.64","-1.435","115.42667","August 14, 15","-0.01435"
"2015-08-17","116.04","117.65","115.5","117.16","109.34","40884700","40884700","-1.12","-0.965","116.77","August 17, 15","-0.00965"
"2015-08-18","116.43","117.44","116.01","116.5","108.73","34560700","34560700","-0.07","-0.06","116.65","August 18, 15","-0.0006"
"2015-08-19","116.1","116.52","114.68","115.01","107.34","48286500","48286500","1.09","0.939","115.40333","August 19, 15","0.00939"
"2015-08-20","114.08","114.35","111.63","112.65","105.13","68501600","68501600","1.43","1.254","112.87667","August 20, 15","0.01254"
"2015-08-21","110.43","111.9","105.65","105.76","98.7","128275500","128275500","4.67","4.229","107.77","August 21, 15","0.04229"
"2015-08-24","94.87","108.8","92.0","103.12","96.24","162206300","162206300","-8.25","-8.696","101.30667","August 24, 15","-0.08696"
"2015-08-25","111.11","111.11","103.5","103.74","96.82","103601600","103601600","7.37","6.633","106.11667","August 25, 15","0.06633"
"2015-08-26","107.09","109.89","105.05","109.69","102.37","96774600","96774600","-2.6","-2.428","108.21","August 26, 15","-0.02428"
"2015-08-27","112.23","113.24","110.02","112.92","105.39","84616100","84616100","-0.69","-0.615","112.06","August 27, 15","-0.00615"
"2015-08-28","112.17","113.31","111.54","113.29","105.73","53164400","53164400","-1.12","-0.998","112.71333","August 28, 15","-0.00998"
"2015-08-31","112.03","114.53","112.0","112.76","105.24","56229300","56229300","-0.73","-0.652","113.09667","August 31, 15","-0.00652"
"2015-09-01","110.15","111.88","107.36","107.72","100.53","76845900","76845900","2.43","2.206","108.98667","September 01, 15","0.02206"
"2015-09-02","110.23","112.34","109.13","112.34","104.85","61888800","61888800","-2.11","-1.914","111.27","September 02, 15","-0.01914"
"2015-09-03","112.49","112.78","110.04","110.37","103.01","53233900","53233900","2.12","1.885","111.06333","September 03, 15","0.01885"
"2015-09-04","108.97","110.45","108.51","109.27","101.98","49996300","49996300","-0.3","-0.275","109.41","September 04, 15","-0.00275"
"2015-09-08","111.75","112.56","110.32","112.31","104.82","54843600","54843600","-0.56","-0.501","111.73","September 08, 15","-0.00501"
"2015-09-09","113.76","114.02","109.77","110.15","102.8","85010800","85010800","3.61","3.173","111.31333","September 09, 15","0.03173"
"2015-09-10","110.27","113.28","109.9","112.57","105.06","62892800","62892800","-2.3","-2.086","111.91667","September 10, 15","-0.02086"
"2015-09-11","111.79","114.21","111.76","114.21","106.59","49915500","49915500","-2.42","-2.165","113.39333","September 11, 15","-0.02165"
"2015-09-14","116.58","116.89","114.86","115.31","107.62","58363400","58363400","1.27","1.089","115.68667","September 14, 15","0.01089"
"2015-09-15","115.93","116.53","114.42","116.28","108.52","43341200","43341200","-0.35","-0.302","115.74333","September 15, 15","-0.00302"
"2015-09-16","116.25","116.54","115.44","116.41","108.64","37173500","37173500","-0.16","-0.138","116.13","September 16, 15","-0.00138"
"2015-09-17","115.66","116.49","113.72","113.92","106.32","64112600","64112600","1.74","1.504","114.71","September 17, 15","0.01504"
"2015-09-18","112.21","114.3","111.87","113.45","105.88","74285300","74285300","-1.24","-1.105","113.20667","September 18, 15","-0.01105"
"2015-09-21","113.67","115.37","113.66","115.21","107.52","50222000","50222000","-1.54","-1.355","114.74667","September 21, 15","-0.01355"
"2015-09-22","113.38","114.18","112.52","113.4","105.83","50346200","50346200","-0.02","-0.018","113.36667","September 22, 15","-0.00018"
"2015-09-23","113.63","114.72","113.3","114.32","106.69","35756700","35756700","-0.69","-0.607","114.11333","September 23, 15","-0.00607"
"2015-09-24","113.25","115.5","112.37","115.0","107.33","50219500","50219500","-1.75","-1.545","114.29","September 24, 15","-0.01545"
"2015-09-25","116.44","116.69","114.02","114.71","107.06","56151900","56151900","1.73","1.486","115.14","September 25, 15","0.01486"
"2015-09-28","113.85","114.57","112.44","112.44","104.94","52109000","52109000","1.41","1.238","113.15","September 28, 15","0.01238"
"2015-09-29","112.83","113.51","107.86","109.06","101.78","73365400","73365400","3.77","3.341","110.14333","September 29, 15","0.03341"
"2015-09-30","110.17","111.54","108.73","110.3","102.94","66473000","66473000","-0.13","-0.118","110.19","September 30, 15","-0.00118"
"2015-10-01","109.07","109.62","107.31","109.58","102.27","63929100","63929100","-0.51","-0.468","108.83667","October 01, 15","-0.00468"
"2015-10-02","108.01","111.01","107.55","110.38","103.02","58019800","58019800","-2.37","-2.194","109.64667","October 02, 15","-0.02194"
"2015-10-05","109.88","111.37","109.07","110.78","103.39","52064700","52064700","-0.9","-0.819","110.40667","October 05, 15","-0.00819"
"2015-10-06","110.63","111.74","109.77","111.31","103.88","48196800","48196800","-0.68","-0.615","110.94","October 06, 15","-0.00615"
"2015-10-07","111.74","111.77","109.41","110.78","103.39","46765600","46765600","0.96","0.859","110.65333","October 07, 15","0.00859"
"2015-10-08","110.19","110.19","108.21","109.5","102.19","61979600","61979600","0.69","0.626","109.3","October 08, 15","0.00626"
"2015-10-09","110.0","112.28","109.49","112.12","104.64","52766100","52766100","-2.12","-1.927","111.29667","October 09, 15","-0.01927"
"2015-10-12","112.73","112.75","111.44","111.6","104.15","30467200","30467200","1.13","1.002","111.93","October 12, 15","0.01002"
"2015-10-13","110.82","112.45","110.68","111.79","104.33","33049300","33049300","-0.97","-0.875","111.64","October 13, 15","-0.00875"
"2015-10-14","111.29","111.52","109.56","110.21","102.86","44462400","44462400","1.08","0.97","110.43","October 14, 15","0.0097"
"2015-10-15","110.93","112.1","110.49","111.86","104.4","37673500","37673500","-0.93","-0.838","111.48333","October 15, 15","-0.00838"
"2015-10-16","111.78","112.0","110.53","111.04","103.63","39232600","39232600","0.74","0.662","111.19","October 16, 15","0.00662"
"2015-10-19","110.8","111.75","110.11","111.73","104.28","29759200","29759200","-0.93","-0.839","111.19667","October 19, 15","-0.00839"
"2015-10-20","111.34","114.17","110.82","113.77","106.18","48967800","48967800","-2.43","-2.183","112.92","October 20, 15","-0.02183"
"2015-10-21","114.0","115.58","113.7","113.76","106.17","41795200","41795200","0.24","0.211","114.34667","October 21, 15","0.00211"
"2015-10-22","114.33","115.5","114.1","115.5","107.79","41654100","41654100","-1.17","-1.023","115.03333","October 22, 15","-0.01023"
"2015-10-23","116.7","119.23","116.33","119.08","111.14","59366900","59366900","-2.38","-2.039","118.21333","October 23, 15","-0.02039"
"2015-10-26","118.08","118.13","114.92","115.28","107.59","66333800","66333800","2.8","2.371","116.11","October 26, 15","0.02371"
"2015-10-27","115.4","116.54","113.99","114.55","106.91","69884400","69884400","0.85","0.737","115.02667","October 27, 15","0.00737"
"2015-10-28","116.93","119.3","116.06","119.27","111.31","85551400","85551400","-2.34","-2.001","118.21","October 28, 15","-0.02001"
"2015-10-29","118.7","120.69","118.27","120.53","112.49","51227300","51227300","-1.83","-1.542","119.83","October 29, 15","-0.01542"
"2015-10-30","120.99","121.22","119.45","119.5","111.53","49365300","49365300","1.49","1.232","120.05667","October 30, 15","0.01232"
"2015-11-02","120.8","121.36","119.61","121.18","113.1","32203300","32203300","-0.38","-0.315","120.71667","November 02, 15","-0.00315"
"2015-11-03","120.79","123.49","120.7","122.57","114.39","45519000","45519000","-1.78","-1.474","122.25333","November 03, 15","-0.01474"
"2015-11-04","123.13","123.82","121.62","122.0","113.86","44886100","44886100","1.13","0.918","122.48","November 04, 15","0.00918"
"2015-11-05","121.85","122.69","120.18","120.92","113.34","39552700","39552700","0.93","0.763","121.26333","November 05, 15","0.00763"
"2015-11-06","121.11","121.81","120.62","121.06","113.47","33042300","33042300","0.05","0.041","121.16333","November 06, 15","0.00041"
"2015-11-09","120.96","121.81","120.05","120.57","113.01","33871400","33871400","0.39","0.322","120.81","November 09, 15","0.00322"
"2015-11-10","116.9","118.07","116.06","116.77","109.45","59127900","59127900","0.13","0.111","116.96667","November 10, 15","0.00111"
"2015-11-11","116.37","117.42","115.21","116.11","108.83","45218000","45218000","0.26","0.223","116.24667","November 11, 15","0.00223"
"2015-11-12","116.26","116.82","115.65","115.72","108.46","32525600","32525600","0.54","0.464","116.06333","November 12, 15","0.00464"
"2015-11-13","115.2","115.57","112.27","112.34","105.29","45812400","45812400","2.86","2.483","113.39333","November 13, 15","0.02483"
"2015-11-16","111.38","114.24","111.0","114.18","107.02","38106700","38106700","-2.8","-2.514","113.14","November 16, 15","-0.02514"
"2015-11-17","114.92","115.05","113.32","113.69","106.56","27616900","27616900","1.23","1.07","114.02","November 17, 15","0.0107"
"2015-11-18","115.76","117.49","115.5","117.29","109.93","46674700","46674700","-1.53","-1.322","116.76","November 18, 15","-0.01322"
"2015-11-19","117.64","119.75","116.76","118.78","111.33","43295800","43295800","-1.14","-0.969","118.43","November 19, 15","-0.00969"
"2015-11-20","119.2","119.92","118.85","119.3","111.82","34287100","34287100","-0.1","-0.084","119.35667","November 20, 15","-0.00084"
"2015-11-23","119.27","119.73","117.34","117.75","110.36","32482500","32482500","1.52","1.274","118.27333","November 23, 15","0.01274"
"2015-11-24","117.33","119.35","117.12","118.88","111.42","42803200","42803200","-1.55","-1.321","118.45","November 24, 15","-0.01321"
"2015-11-25","119.21","119.23","117.92","118.03","110.63","21388300","21388300","1.18","0.99","118.39333","November 25, 15","0.0099"
"2015-11-27","118.29","118.41","117.6","117.81","110.42","13046400","13046400","0.48","0.406","117.94","November 27, 15","0.00406"
